task,model,judge,criterion,n_samples,pearson_r,pearson_p,kendall_tau,kendall_p,spearman_r,spearman_p,mae,rmse,cohen_kappa,agreement_within_1,exact_agreement
interview,Salmon_summary,Qwen,usefulness,26,0.6054849159465443,0.0010468139998675852,0.5363225871270069,0.0028745617525421105,0.5784730517154569,0.0019635741018845182,1.4615384615384615,1.6870547845739468,-0.0035087719298247944,0.46153846153846156,0.15384615384615385
interview,GAMA_summary,Llama,overall,26,0.8695128576009581,8.1347796840724e-09,0.861356769214109,1.0330770623235175e-05,0.8820263667876299,2.594809223743429e-09,0.07692307692307693,0.2773500981126146,0.6829268292682926,1.0,0.9230769230769231
interview,GAMA_summary,Llama,fluency,26,-0.0914899337102201,0.6566812783500356,-0.1300406440528924,0.47929275402807126,-0.14530246817219736,0.47879978217074615,1.2307692307692308,1.593255013631383,0.20503597122302164,0.5,0.34615384615384615
interview,GAMA_summary,Llama,faithfulness,26,0.44022545316281214,0.0244069401285934,0.43661267804614956,0.025592626441706994,0.4464676173400859,0.022232015246651762,0.15384615384615385,0.3922322702763681,0.29729729729729737,1.0,0.8461538461538461
interview,GAMA_summary,Llama,coverage,26,0.8300573566392894,1.5636805742865834e-07,0.82915619758885,2.145516621563074e-05,0.8498365855987974,3.9457238262831985e-08,0.07692307692307693,0.2773500981126146,0.7636363636363637,1.0,0.9230769230769231
interview,GAMA_summary,Llama,purity,26,0.25667867004349626,0.20559337240084893,0.1428975402062684,0.4295864066278653,0.16249033907470642,0.4277284574195298,1.3076923076923077,1.7541160386140584,0.0575692963752662,0.5769230769230769,0.34615384615384615
interview,GAMA_summary,Llama,usefulness,26,0.6715144652340957,0.0001726911318232908,0.6783611965932885,0.0005705873148589645,0.6890447073272185,9.912698345788773e-05,0.11538461538461539,0.3396831102433787,0.6119402985074627,1.0,0.8846153846153846
interview,GAMA_summary,Mistral,overall,26,0.3664421564534635,0.0655857683856622,0.3853800623171018,0.04479863893415318,0.40226205313823094,0.04162557826115267,0.46153846153846156,0.6793662204867574,0.14520547945205475,1.0,0.5384615384615384
interview,GAMA_summary,Mistral,fluency,26,-0.23682333267306033,0.2440836516959113,-0.24053230706434592,0.19219446927296446,-0.2535582710781353,0.21135076741310133,2.1923076923076925,2.3777817717036513,0.04294478527607348,0.19230769230769232,0.07692307692307693
interview,GAMA_summary,Mistral,faithfulness,26,0.3049971406652095,0.12975613745426923,0.30139814339315507,0.12331543819390371,0.30820110756665686,0.12557195905422622,0.19230769230769232,0.4385290096535146,0.2168674698795181,1.0,0.8076923076923077
interview,GAMA_summary,Mistral,coverage,26,0.018486846666163386,0.9285763705891523,0.020979533957417223,0.9133030304345018,0.021775819330616262,0.9159102793646647,0.34615384615384615,0.5883484054145521,-0.125,1.0,0.6538461538461539
interview,GAMA_summary,Mistral,purity,26,-0.05583902476878083,0.7864429862888588,-0.054044185673496406,0.7679506007627337,-0.059011330979691023,0.7746094448708012,2.5,2.7942248133771033,-0.015625,0.2692307692307692,0.038461538461538464
interview,GAMA_summary,Mistral,usefulness,26,-0.06761234037828132,0.7427778932325396,-0.07155417527999328,0.7163020609893977,-0.07268108201271968,0.7242062958837838,0.2692307692307692,0.5188745216627708,-0.06432748538011701,1.0,0.7307692307692307
interview,GAMA_summary,Qwen,overall,26,0.3241870060995731,0.10615510208228898,0.21002490193555637,0.28222974696806824,0.215064776652495,0.2913814821493582,0.9615384615384616,1.0919284281983377,-0.010600706713780772,0.8846153846153846,0.15384615384615385
interview,GAMA_summary,Qwen,fluency,26,-0.37452417908481944,0.059422650337608324,-0.4226295301942239,0.02804763719265418,-0.43932388652229554,0.02473484843126636,0.8461538461538461,1.0,-0.4565826330532212,0.9230769230769231,0.23076923076923078
interview,GAMA_summary,Qwen,faithfulness,26,0.44022545316281214,0.0244069401285934,0.418199099493402,0.029970776176221403,0.4286758421022907,0.028884555932913485,0.8461538461538461,0.9607689228305228,-0.032136105860113284,0.9615384615384616,0.19230769230769232
interview,GAMA_summary,Qwen,coverage,26,0.4276746557083741,0.029301933114585108,0.40637127688715774,0.034518277820163555,0.41807695215677887,0.03355438364214993,1.8076923076923077,1.8708286933869707,-0.0242424242424244,0.23076923076923078,0.0
interview,GAMA_summary,Qwen,purity,26,,,,,,,2.6538461538461537,2.902253766140536,0.0,0.23076923076923078,0.0
interview,GAMA_summary,Qwen,usefulness,26,0.4113063728303113,0.0368408558686226,0.3873790133706264,0.04376502102894602,0.3994951319223975,0.04318369092603787,1.7692307692307692,1.8397324220155997,-0.030487804878048808,0.2692307692307692,0.0
